id;title;description;image;image_content_type;height;width;taken;uploaded
1;Yuan Renminbi Centers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;1326;94888;2019-11-03T21:19:57;2019-11-03T20:46:13
2;cross-platform access;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;9767;23089;2019-11-04T03:31:25;2019-11-04T14:09:38
3;Bahamian Dollar Investment Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;83319;3438;2019-11-04T15:47:04;2019-11-03T22:07:18
4;Digitized invoice;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;31171;42515;2019-11-04T07:27:49;2019-11-04T14:57:16
5;Georgia Industrial;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84228;77513;2019-11-04T09:09:04;2019-11-03T21:23:50
6;Chief Credit Card Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;92187;32654;2019-11-04T17:49:17;2019-11-04T06:15:16
7;Aruba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96117;32533;2019-11-03T23:40:35;2019-11-04T10:37:01
8;interactive generating compelling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;28093;60703;2019-11-04T06:55:14;2019-11-04T13:19:16
9;scalable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16526;7455;2019-11-04T19:34:11;2019-11-03T20:15:36
10;index orange;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;552;1407;2019-11-04T00:22:27;2019-11-04T15:10:22
